Time (ms),RB_Joint2,RB_Joint1,RB_Joint3
6767,4.574109077,-50.84672546,10.36064434
6800,16.86906242,-43.54142761,0.552630544
6833,13.61874771,12.85578156,-11.98021889
6867,0.004815283,68.3956604,-16.89262772
6900,-6.150038719,65.20385742,-12.85352707
6933,3.842391253,1.748869777,-4.737111568
6967,18.56988335,-62.60380554,-4.171674252
7000,20.07184029,-67.86803436,-16.12833023
7033,2.426595211,-13.9893198,-26.8840332
7067,-22.05051231,42.90519714,-18.59108925
7100,-31.22240067,53.24289322,5.033404827
7133,-16.72306824,17.66921997,22.11229134
7167,6.44950819,-27.29650688,23.18323135
7200,21.18273735,-47.99628067,19.83281898
7233,26.1549778,-40.86904907,22.70477676
7267,32.4602356,-30.90530777,23.28773308
7300,47.83184433,-37.91533279,1.313650131
7333,61.93612289,-50.81496429,-42.80366516
7367,54.77343369,-44.93417358,-73.51994324
7400,22.18380356,-13.25944519,-57.34859085
7433,-19.4397068,26.24677658,-7.670643806
7467,-50.10046005,46.55272293,29.83447075
7500,-56.31002426,32.99923706,30.58073807
7533,-37.13290024,-1.352992058,7.365744114
7567,-10.67773628,-17.98641396,-15.61606598
7600,-0.630289793,10.50346375,-25.30830765
7633,-10.619133,56.4295845,-22.04579926
7667,-21.81620216,59.47919846,-14.50240421
7700,-18.81720352,8.778363228,-11.34408951
7733,-6.990561485,-38.47636414,-11.30823135
7767,3.525299549,-36.15416718,-7.81756115
7800,11.08928967,1.739239216,-0.805586636
7833,12.99655151,37.09202194,5.697606564
7867,5.473542213,42.30932999,8.434531212
7900,-4.088892937,7.302838326,3.238431454
7933,-3.910214901,-42.77262115,-8.950791359
7967,2.344223261,-55.65934372,-17.23635674
8000,2.566750765,-14.20672417,-12.90178299
8033,-0.850460947,32.4466095,-1.885542035
8067,5.177863598,30.59794998,2.536014795
8100,20.50828934,-9.607001305,-2.999204159
8133,27.93509674,-36.10519791,-9.814980507
8167,15.6352253,-22.46196365,-10.65488911
8200,-10.16239834,12.07017326,-4.514686108
8233,-36.0741539,35.33884811,8.478279114
8267,-54.19252777,32.57672501,23.9580822
8300,-60.44922256,7.147314548,30.18578148
8333,-50.95727158,-23.70123291,21.44491386
8367,-30.79302025,-31.62124825,6.835038185
8400,-13.59395409,-4.730247021,-3.269167423
8433,-6.455860138,30.4555397,-7.490224361
8467,-5.919417381,37.78993225,-8.509015083
8500,-6.012854099,12.00214386,-8.55685997
8533,-7.176411629,-19.20969963,-8.376543045
8567,-12.41533661,-24.87677574,-8.069185257
8600,-15.12880039,-2.528945684,-8.762482643
8633,-6.704718113,21.60197449,-10.03638172
8667,7.916633129,25.27695656,-9.591018677
8700,16.1171627,11.31038284,-7.614089966
8733,14.53324223,-4.643776894,-4.637937069
8767,10.09990215,-12.58202744,1.612607598
8800,6.76311636,-11.1245327,11.04318523
8833,3.648857832,-5.425287247,19.54318428
8867,4.21603632,-5.895545483,22.55478477
8900,11.93739414,-18.03333664,14.45148468
8933,18.53340912,-32.5201683,-3.14796567
8967,13.70818901,-32.46914673,-11.65318966
9000,2.757313013,-11.03007126,1.660760403
9033,-2.831079006,19.78651047,21.03971291
9067,0.633260906,35.48289871,25.13803101
9100,14.12179089,17.80117798,13.72355652
9133,30.38751221,-20.66145706,-1.598264217
9167,31.43673134,-39.5676918,-13.58340168
9200,11.62747383,-15.61135387,-18.15126038
9233,-15.5690403,27.16270447,-11.84723568
9267,-33.22954941,43.17649078,6.362627983
9300,-33.61077881,13.76084995,30.07001114
9333,-22.79913521,-35.03476715,38.50361633
9367,-13.1211338,-57.18281937,12.54924202
9400,-11.04318523,-28.09072304,-35.17615509
9433,-10.64618111,30.5918026,-62.02054214
9467,-2.475567818,66.37426758,-37.63871002
9500,9.810985565,46.19577789,14.18623352
9533,15.28995895,-5.651708126,41.97891998
9567,13.99075413,-36.78650665,34.77627945
9600,16.43189621,-30.69610023,19.97000313
9633,30.44437218,-11.31693935,14.85730076
9667,52.18486023,3.564333916,14.25713158
9700,65.46224213,12.54063606,3.861140013
9733,53.73456192,7.2493577,-19.38663673
9767,18.37143135,-13.12687111,-33.85533142
9800,-21.31305695,-13.87395763,-15.71431828
9833,-47.25585556,33.20926285,23.9387188
9867,-52.49898148,91.08773804,44.70016861
9900,-38.30506516,98.8104248,23.27031708
9933,-14.91528893,55.18498993,-17.22262764
9967,0.203368872,13.85695076,-38.28539276
10000,-3.466491461,14.97286797,-32.90907669
10033,-19.449543,48.27106094,-18.86228371
10067,-31.9118042,70.17874908,-8.002693176
10100,-27.10666275,47.53012085,-0.027662264
10133,-2.442270517,-12.59678078,6.239684582
10167,26.44184685,-69.37921143,8.007099152
10200,37.05339813,-83.19579315,5.745862007
10233,24.01412392,-49.75847244,4.804525375
10267,1.776941895,1.644982696,9.33765316
10300,-13.46107292,33.12340927,17.78755188
10333,-16.48588943,20.26291466,22.53675461
10367,-15.45449829,-23.80204582,17.25305557
10400,-22.39424133,-52.6658783,3.695166588
10433,-38.81640625,-36.50722122,-10.50459099
10467,-54.47744751,9.190633774,-18.17584801
10500,-54.14468384,49.48287201,-19.78087425
10533,-32.34886932,61.9786377,-23.4954052
10567,-9.213993073,46.48674393,-32.31885147
10600,-10.87654591,19.60598755,-37.89955521
10633,-32.18842697,7.546676159,-33.77951813
10667,-41.03425217,31.18705368,-24.28552055
10700,-20.89894295,75.28704834,-14.37392807
10733,10.94247437,94.91127777,-1.855933189
10767,31.57611847,72.17760468,10.641366
10800,34.87535095,34.89584351,9.777380943
10833,25.7524929,10.32458115,-7.38848877
10867,13.69077206,-7.928005695,-22.64453506
10900,8.715815544,-36.54225922,-17.14230537
10933,12.67464447,-69.95663452,6.072379112
10967,14.83194351,-88.48194885,31.31839752
11000,1.046658039,-91.05433655,53.7253418
11033,-24.54672432,-104.7424469,66.92208099
11067,-36.21020889,-152.1324158,54.45460129
11100,-20.27920532,-208.7488708,24.52515793
11133,7.932667255,-210.2100525,7.95474577
11167,26.96158981,-128.0192261,9.206411362
11200,26.95641518,-6.148808956,8.194996834
11233,12.3183651,90.5692215,-0.309612453
11267,-0.88427037,113.5068741,-4.417048931
11300,0.300903946,48.40158463,0.808557749
11333,8.98654747,-52.39335251,4.162248611
11367,7.059717178,-76.71791077,-3.810425997
