Time (ms),RB_End_Effecter,RB_Joint2 - o,RB_Joint1 - o,RB_Joint3 - o
11200,-0.016855715,-0.002714825,-0.004641723,-0.037983663
11233,-0.018902563,-0.066223234,-0.004018593,-0.085990906
11267,-0.006696688,-0.093247592,-0.011654948,-0.101391181
11300,0.012158524,-0.05041036,-0.004655743,-0.066814996
11333,0.014763556,0.021966362,0.014539432,-0.017088559
11367,-0.028340861,0.042460155,0.030804345,-0.011121583
11400,-0.120071009,-0.020568466,0.030726239,-0.071373843
11433,-0.209721744,-0.112912834,0.009260559,-0.152183399
11467,-0.22764276,-0.159645364,-0.027510736,-0.18114987
11500,-0.161029875,-0.146618828,-0.064978406,-0.13596721
11533,-0.066365339,-0.114967622,-0.09157905,-0.062639661
11567,-0.002922016,-0.098350517,-0.106998242,-0.015993547
11600,0.011915158,-0.09844207,-0.114240922,-0.009297072
11633,-0.013880091,-0.100652494,-0.111704342,-0.028927051
11667,-0.069563292,-0.086129092,-0.100146383,-0.069114193
11700,-0.134683907,-0.04539156,-0.087122157,-0.12745212
11733,-0.171601817,-0.001328373,-0.077669904,-0.175680384
11767,-0.155558601,-0.001838779,-0.06962385,-0.174291
11800,-0.10670165,-0.065815255,-0.062319655,-0.128007874
11833,-0.064853288,-0.151257411,-0.060344119,-0.084755294
11867,-0.043674015,-0.196825773,-0.064200491,-0.069220655
11900,-0.030738292,-0.18103151,-0.067257211,-0.06331937
11933,-0.01570512,-0.128175542,-0.067147918,-0.055294055
11967,-0.000865549,-0.073868178,-0.070071883,-0.058381744
12000,0.004861217,-0.04309845,-0.078848928,-0.076091908
12033,-0.010753924,-0.046834368,-0.087450027,-0.092236444
12067,-0.058693398,-0.074026674,-0.091785043,-0.101089515
12100,-0.131143153,-0.09073963,-0.095546998,-0.11557845
12133,-0.191294551,-0.079992481,-0.105245009,-0.141020522
12167,-0.201736376,-0.085643008,-0.12786454,-0.162183955
12200,-0.162431493,-0.158645436,-0.163249105,-0.16075258
12233,-0.103574,-0.257994443,-0.190493181,-0.132337749
12267,-0.052087851,-0.280224591,-0.179695696,-0.085027024
12300,-0.019250892,-0.187905103,-0.126160234,-0.034472462
12333,-0.005536294,-0.058551401,-0.059393115,-0.00185194
12367,-0.004598522,0.000230598,-0.01507244,-0.000622702
12400,-0.006752872,-0.030558012,-0.002857018,-0.019848345
12433,-0.005463982,-0.068219945,0.000274658,-0.033247087
12467,-0.004454469,-0.036304664,0.023558233,-0.028839681
12500,-0.016750144,0.05344047,0.071701236,-0.018615818
12533,-0.052982494,0.13643989,0.122397415,-0.014669036
12567,-0.106700771,0.161868662,0.141624063,-0.011176443
12600,-0.149754941,0.116719425,0.105415523,-0.000976753
12633,-0.152259335,0.032819364,0.026239011,0.00832529
12667,-0.112845108,-0.032294653,-0.050198361,0.008758592
12700,-0.059028476,-0.04999122,-0.086026952,0.005415344
12733,-0.018229436,-0.041817855,-0.078080744,0.006651592
12767,0.001557541,-0.037157249,-0.044019699,0.01569929
12800,0.008119797,-0.029494284,0.003230667,0.03630881
12833,0.012315772,0.014179229,0.062817186,0.073571347
12867,0.018702578,0.105762281,0.131306633,0.122348204
12900,0.025010416,0.206789002,0.186935782,0.162119865
12933,0.027423475,0.255194634,0.200723916,0.171532482
12967,0.024062917,0.221665174,0.163225934,0.146428943
13000,0.015916012,0.131568715,0.090388581,0.098891184
